pool_obs,pool_fut,identity_swap_only,identity_overall,assignment_accuracy
mean,mean,0.7500,0.7500,0.7500
first,mean,1.0000,1.0000,1.0000
last,mean,0.0000,0.0000,0.0000
mean,first,0.7500,0.7500,0.7500
mean,last,0.7500,0.7500,0.7500
first,first,1.0000,1.0000,1.0000
last,first,0.0000,0.0000,0.0000
last,last,0.0000,0.0000,0.0000
first,last,1.0000,1.0000,1.0000
mean_normal,mean_normal,0.7500,0.7500,0.7500
last_normal,first_normal,0.0000,0.0000,0.0000
last_normal,last_normal,0.0000,0.0000,0.0000
mean_shuffled,mean_shuffled,0.3654,0.3654,0.3654
last_shuffled,first_shuffled,0.5577,0.5577,0.5577
last_shuffled,last_shuffled,0.5769,0.5769,0.5769
mean_zero,mean_zero,0.0000,0.0000,0.0000
last_zero,first_zero,0.0000,0.0000,0.0000
last_zero,last_zero,0.0000,0.0000,0.0000
mean_random_wrong,mean_random_wrong,0.2596,0.2596,0.2596
last_random_wrong,first_random_wrong,0.2212,0.2212,0.2212
last_random_wrong,last_random_wrong,0.1442,0.1442,0.1442
